c|packed
Mexico|08-05~39,3,3,2,0 08-26~32,1,0,0,0 05-27~39,3,3,2,0 05-26~21,0,0,0,0 05-30~37,1,0,0,0 2026-05~381,112,63,30,9 06-17~50,4,4,2,1 05-21~28,6,5,2,1 07-19~48,3,2,1,1 06-01~39,2,0,0,0 06-25~58,5,4,1,0 08-20~32,4,3,2,0 05-01~22,0,0,0,0 05-15~30,8,6,0,0 06-06~684,234,200,85,0 06-05~738,272,230,113,0 08-28~33,2,1,1,0 07-16~30,7,5,1,0 05-09~24,3,0,0,0 05-12~25,1,0,0,0 05-22~61,7,5,4,2 07-20~41,3,1,1,0 05-18~21,3,2,1,0 06-21~52,5,2,2,1 07-12~37,3,2,1,0 05-23~48,8,5,3,3 05-02~29,3,0,0,0 05-24~34,1,1,0,0 07-17~60,6,3,1,0 06-22~43,6,2,2,0 05-29~57,5,4,1,0 06-02~49,3,2,1,0 08-21~31,4,2,0,0 05-03~17,0,0,0,0 08-29~25,0,0,0,0 06-16~62,5,3,1,0 07-24~49,6,6,3,1 08-27~30,1,0,0,0 08-16~54,3,0,0,0 07-15~30,1,1,0,0 06-03~111,26,22,9,0 07-07~60,8,6,1,1 05-13~23,3,1,1,0 08-08~26,2,1,1,1 05-06~21,2,0,0,0 08-31~25,4,2,1,0 07-28~29,3,2,1,0 06-30~63,10,4,2,1 08-22~31,2,1,0,0 05-10~23,4,0,0,0 08-13~41,6,1,0,0 06-18~48,5,3,1,1 08-04~39,4,3,1,0 08-18~51,3,3,1,0 08-30~25,3,3,1,0 05-14~19,4,2,1,1 06-27~50,6,3,1,0 05-05~15,0,0,0,0 07-26~45,5,1,0,0 2026-08~533,128,73,39,17 2026-06~3574,1218,1042,522,11 06-24~42,7,4,3,1 05-31~47,5,2,0,0 07-14~28,2,1,1,0 08-07~37,3,0,0,0 2026-06M~71,5,2,1,0 05-25~32,5,3,3,0 06-26~52,5,2,0,0 05-04~22,3,0,0,0 08-25~30,2,1,0,0 07-31~39,1,0,0,0 06-29~59,6,5,1,0 05-07~24,4,0,0,0 08-03~27,3,2,0,0 2026-07M~90,12,8,4,1 2026-09~40,5,3,1,0 all~4791,1597,1277,642,48 05-16~22,2,1,1,1 06-19~60,10,7,3,1 07-01~63,10,6,2,1 07-06~54,6,2,1,0 07-22~48,9,6,2,0 08-14~52,2,1,1,0 07-08~46,6,3,1,0 06-10~76,6,6,1,0 08-15~52,2,1,0,0 06-12~51,0,0,0,0 05-08~22,6,0,0,0 07-25~57,10,9,2,0 05-20~27,2,2,1,0 05-19~27,1,1,0,0 2026-07~661,148,98,37,7 07-13~33,2,1,0,0 08-06~33,3,3,1,0 07-18~63,6,4,1,0 07-21~53,4,1,1,0 09-02~20,2,1,0,0 06-08~670,201,177,76,0 07-10~37,3,2,1,0 2026-05M~37,3,0,0,0 06-07~740,265,235,120,0 08-23~28,7,3,2,0 06-23~63,4,3,1,0 06-14~58,7,6,2,1 07-27~39,7,4,2,1 06-20~46,9,8,1,0 08-10~37,10,8,5,3 08-11~47,19,15,14,12 06-28~56,7,4,3,0 07-30~46,4,2,1,0 07-04~40,1,0,0,0 08-02~40,6,2,0,0 09-01~33,3,2,1,0 08-19~44,4,3,2,0 07-23~61,19,13,4,0 05-28~96,23,19,9,0 08-12~52,11,2,2,1 07-11~31,1,1,0,0 06-09~73,4,3,1,0 2026-09M~40,5,3,1,0 05-11~24,0,0,0,0 2026-08M~62,13,6,0,0 07-03~48,5,2,2,1 07-05~54,1,1,1,0 06-11~107,4,2,1,0 07-09~40,4,2,2,0 05-17~19,0,0,0,0 07-29~41,6,6,0,0 08-24~22,0,0,0,0 08-01~37,7,4,0,0 08-17~56,4,2,0,0 08-09~48,4,3,1,0 07-02~49,2,2,2,0 06-04~464,116,97,52,0 06-13~47,4,3,1,1 06-15~53,6,2,1,0 sr~5085,3329 se~13031,707,105,7.7,3.7
Moldova|06-11~4,0,0,0,0 07-09~4,0,0,0,0 2026-08~41,9,7,3,1 05-03~6,0,0,0,0 08-26~3,0,0,0,0 05-04~5,0,0,0,0 08-03~7,0,0,0,0 2026-06~37,14,9,4,1 05-29~6,0,0,0,0 all~125,51,28,12,5 08-15~2,0,0,0,0 08-31~5,2,2,1,0 2026-05~45,18,4,1,1 05-10~6,1,0,0,0 07-02~6,1,1,0,0 05-17~4,0,0,0,0 08-12~2,0,0,0,0 08-11~3,0,0,0,0 07-24~6,0,0,0,0 09-02~3,0,0,0,0 07-06~3,1,1,0,0 05-12~5,1,0,0,0 05-20~3,0,0,0,0 08-20~6,1,1,0,0 05-05~7,3,0,0,0 05-30~8,0,0,0,0 06-19~6,1,1,0,0 07-01~5,0,0,0,0 08-27~3,0,0,0,0 05-25~4,0,0,0,0 08-16~4,0,0,0,0 08-21~5,0,0,0,0 07-25~6,0,0,0,0 06-23~7,1,1,1,0 08-02~2,0,0,0,0 08-28~3,0,0,0,0 07-31~3,0,0,0,0 06-29~5,0,0,0,0 05-11~2,0,0,0,0 06-02~6,1,0,0,0 06-20~6,0,0,0,0 09-01~2,0,0,0,0 08-19~5,1,0,0,0 08-17~1,0,0,0,0 07-13~4,0,0,0,0 05-08~3,0,0,0,0 05-23~6,3,1,0,0 07-04~5,0,0,0,0 05-15~7,1,1,0,0 05-13~4,0,0,0,0 07-03~6,0,0,0,0 06-25~4,0,0,0,0 2026-08M~8,0,0,0,0 05-07~8,4,0,0,0 08-24~3,0,0,0,0 2026-05M~5,1,0,0,0 05-31~7,0,0,0,0 07-27~6,0,0,0,0 05-21~5,0,0,0,0 06-27~5,1,0,0,0 06-07~5,0,0,0,0 07-08~3,0,0,0,0 06-10~6,1,1,1,1 07-14~7,0,0,0,0 07-17~5,2,2,0,0 06-24~4,1,0,0,0 08-23~1,0,0,0,0 05-02~4,0,0,0,0 06-22~4,0,0,0,0 05-16~6,0,0,0,0 08-30~3,1,1,0,0 05-09~6,0,0,0,0 07-26~5,0,0,0,0 2026-07M~7,1,1,0,0 05-06~3,0,0,0,0 07-07~5,0,0,0,0 08-18~3,1,1,0,0 06-13~7,1,0,0,0 2026-09~3,0,0,0,0 06-21~4,0,0,0,0 07-20~6,0,0,0,0 06-28~4,0,0,0,0 07-30~4,0,0,0,0 07-29~5,1,0,0,0 06-26~3,0,0,0,0 06-17~5,0,0,0,0 07-18~4,1,1,1,1 08-04~5,0,0,0,0 07-19~4,0,0,0,0 06-01~5,1,1,1,0 08-06~3,0,0,0,0 08-29~4,0,0,0,0 06-18~6,1,1,0,0 06-12~4,0,0,0,0 08-14~2,0,0,0,0 07-16~6,1,1,0,0 2026-09M~3,0,0,0,0 07-23~3,0,0,0,0 05-19~5,0,0,0,0 08-13~3,0,0,0,0 05-27~4,0,0,0,0 08-22~3,1,1,0,0 06-04~4,1,0,0,0 06-05~6,1,1,0,0 08-08~5,0,0,0,0 06-16~6,0,0,0,0 07-15~4,0,0,0,0 06-06~7,0,0,0,0 07-12~4,0,0,0,0 07-22~4,0,0,0,0 2026-06M~7,2,1,1,0 05-18~7,0,0,0,0 05-22~3,1,1,0,0 2026-07~33,10,8,4,2 05-26~4,1,1,1,1 07-11~4,0,0,0,0 06-09~9,2,2,1,0 08-09~7,2,1,1,1 08-05~3,0,0,0,0 05-24~4,0,0,0,0 08-25~3,0,0,0,0 05-28~6,0,0,0,0 05-14~5,2,0,0,0 07-28~5,1,0,0,0 06-30~6,0,0,0,0 06-15~2,0,0,0,0 06-03~8,1,1,0,0 05-01~4,1,0,0,0 07-05~5,1,1,1,0 06-08~4,0,0,0,0 07-10~5,0,0,0,0 06-14~3,0,0,0,0 08-10~7,0,0,0,0 08-07~7,0,0,0,0 08-01~8,0,0,0,0 07-21~3,1,1,0,0 se~1962,1238,44,6.9,2.91
Monaco|all~2,0,0,0,0 2026-08~2,0,0,0,0 2026-08M~1,0,0,0,0 08-06~1,0,0,0,0 08-01~1,0,0,0,0
Mongolia|07-05~1,0,0,0,0 05-06~1,1,0,0,0 07-18~1,0,0,0,0 2026-07M~2,0,0,0,0 05-14~3,2,1,1,0 07-04~1,0,0,0,0 05-07~1,0,0,0,0 08-12~1,0,0,0,0 07-24~1,1,1,1,0 05-20~1,0,0,0,0 07-12~1,0,0,0,0 06-06~1,0,0,0,0 07-07~2,0,0,0,0 07-25~1,0,0,0,0 06-01~1,0,0,0,0 07-19~1,0,0,0,0 07-08~1,0,0,0,0 05-01~1,0,0,0,0 2026-06M~1,0,0,0,0 06-30~2,0,0,0,0 06-07~1,1,0,0,0 2026-09M~1,0,0,0,0 07-16~1,0,0,0,0 2026-08M~2,0,0,0,0 08-24~1,0,0,0,0 07-29~3,0,0,0,0 08-08~1,0,0,0,0 08-03~1,0,0,0,0 08-19~1,0,0,0,0 09-01~1,0,0,0,0 08-01~1,0,0,0,0 05-04~1,1,0,0,0 2026-05~8,4,1,1,0 2026-06~9,3,0,0,0 08-29~1,0,0,0,0 08-02~1,0,0,0,0 06-05~1,0,0,0,0 07-14~1,0,0,0,0 05-19~2,1,0,0,0 08-04~1,0,0,0,0 05-03~1,0,0,0,0 08-18~1,0,0,0,0 07-26~1,0,0,0,0 05-17~1,0,0,0,0 08-07~3,0,0,0,0 08-17~1,1,1,0,0 07-03~2,1,1,0,0 08-09~2,0,0,0,0 07-10~1,0,0,0,0 06-08~1,1,0,0,0 2026-09~1,0,0,0,0 2026-08~18,1,1,0,0 2026-05M~1,0,0,0,0 07-21~1,0,0,0,0 all~44,10,4,2,0 07-13~1,0,0,0,0 2026-07~12,3,2,1,0 08-28~1,0,0,0,0 07-22~1,0,0,0,0 07-06~1,0,0,0,0 07-01~1,0,0,0,0 08-11~1,0,0,0,0 07-09~1,0,0,0,0 06-04~1,1,0,0,0 08-22~1,0,0,0,0 07-02~1,0,0,0,0 08-30~2,0,0,0,0 06-09~1,0,0,0,0 07-11~2,1,0,0,0 06-28~1,0,0,0,0 06-27~1,0,0,0,0
Montenegro|07-27~4,0,0,0,0 08-30~1,0,0,0,0 06-15~2,0,0,0,0 09-02~1,0,0,0,0 07-10~3,0,0,0,0 08-07~3,0,0,0,0 06-02~1,0,0,0,0 08-06~3,0,0,0,0 07-11~2,0,0,0,0 08-18~1,0,0,0,0 2026-08~18,2,0,0,0 06-13~2,0,0,0,0 06-29~3,0,0,0,0 06-25~5,1,0,0,0 05-20~2,1,0,0,0 05-15~1,0,0,0,0 2026-07~22,4,3,1,0 07-28~2,0,0,0,0 2026-06M~2,0,0,0,0 07-06~3,0,0,0,0 08-11~2,1,0,0,0 06-23~3,0,0,0,0 07-18~1,0,0,0,0 2026-06~22,3,2,1,0 06-05~1,0,0,0,0 06-26~3,0,0,0,0 05-28~2,0,0,0,0 08-14~1,0,0,0,0 07-03~2,0,0,0,0 07-14~2,0,0,0,0 08-03~2,0,0,0,0 06-12~2,0,0,0,0 07-17~1,0,0,0,0 05-04~1,0,0,0,0 08-09~3,0,0,0,0 06-14~2,0,0,0,0 06-28~4,0,0,0,0 05-07~1,0,0,0,0 06-09~3,0,0,0,0 08-24~2,0,0,0,0 06-07~1,0,0,0,0 05-31~3,0,0,0,0 07-05~2,0,0,0,0 08-12~1,0,0,0,0 05-02~1,1,0,0,0 06-30~4,0,0,0,0 06-11~6,0,0,0,0 07-19~2,0,0,0,0 05-16~1,0,0,0,0 06-18~2,0,0,0,0 08-10~2,0,0,0,0 07-07~2,0,0,0,0 08-28~1,0,0,0,0 08-31~2,0,0,0,0 07-26~2,0,0,0,0 08-23~1,0,0,0,0 08-20~1,0,0,0,0 05-03~1,0,0,0,0 06-22~3,1,0,0,0 08-05~1,0,0,0,0 07-12~3,1,0,0,0 05-05~1,0,0,0,0 05-30~2,1,1,0,0 05-17~1,0,0,0,0 06-19~3,0,0,0,0 07-29~1,0,0,0,0 2026-05~12,7,1,0,0 07-25~4,1,1,1,0 06-27~3,0,0,0,0 05-29~3,0,0,0,0 05-06~1,0,0,0,0 06-08~2,0,0,0,0 05-11~4,3,0,0,0 06-01~2,0,0,0,0 all~58,14,6,2,0 06-16~2,1,0,0,0 09-01~1,0,0,0,0 05-01~1,0,0,0,0 06-06~1,0,0,0,0 05-08~2,0,0,0,0 07-21~3,0,0,0,0 08-02~2,0,0,0,0 07-15~2,0,0,0,0 2026-09M~1,0,0,0,0 2026-08M~2,0,0,0,0 07-13~2,0,0,0,0 08-04~2,0,0,0,0 08-01~1,0,0,0,0 07-16~2,0,0,0,0 07-24~2,0,0,0,0 2026-09~1,0,0,0,0 08-21~4,0,0,0,0 05-12~3,1,0,0,0 06-20~2,0,0,0,0 07-01~2,0,0,0,0 08-16~1,0,0,0,0 06-10~3,0,0,0,0 07-08~2,0,0,0,0 06-24~4,0,0,0,0 08-08~4,1,0,0,0 07-20~4,1,1,0,0 08-22~1,0,0,0,0 08-29~2,0,0,0,0 08-25~1,0,0,0,0 06-21~5,0,0,0,0 06-04~4,1,1,0,0 07-09~1,0,0,0,0 06-03~2,1,1,1,0 08-13~2,0,0,0,0 07-04~2,0,0,0,0 08-17~1,0,0,0,0 07-31~3,0,0,0,0 08-26~1,0,0,0,0 2026-05M~2,1,0,0,0 07-02~6,0,0,0,0 08-15~2,0,0,0,0 2026-07M~6,0,0,0,0 08-19~1,0,0,0,0 06-17~3,0,0,0,0 07-23~3,0,0,0,0 08-27~1,0,0,0,0 07-30~3,1,1,0,0 07-22~2,0,0,0,0 se~697,2001,302,10.9,26.02
Morocco|05-20~14,0,0,0,0 05-03~14,2,0,0,0 08-02~12,1,0,0,0 08-25~17,1,0,0,0 06-09~20,1,0,0,0 07-11~27,7,3,1,0 08-11~22,2,1,1,1 07-26~12,1,0,0,0 08-03~17,3,2,2,1 2026-07~176,89,61,21,12 08-15~20,1,0,0,0 07-10~24,7,4,1,1 06-08~16,2,1,1,0 08-10~31,9,4,1,1 06-18~25,1,0,0,0 08-04~17,1,1,1,1 05-05~12,0,0,0,0 06-21~25,1,0,0,0 08-24~19,6,6,0,0 08-30~16,0,0,0,0 08-09~17,1,1,1,1 07-24~17,2,1,0,0 06-26~23,2,2,1,0 2026-07M~34,6,5,1,1 08-07~51,29,18,8,5 06-23~15,1,1,0,0 07-05~15,1,0,0,0 2026-06~180,48,35,17,5 07-09~28,5,3,3,3 06-11~30,1,0,0,0 08-06~12,2,1,1,1 06-02~18,0,0,0,0 06-01~15,2,1,0,0 07-19~15,1,1,1,1 08-27~40,7,1,0,0 08-01~17,3,1,0,0 05-28~17,1,1,0,0 07-29~27,6,1,1,0 07-27~17,3,1,0,0 2026-09M~22,3,2,1,0 08-16~17,2,1,0,0 06-14~29,3,3,1,0 07-15~20,5,2,0,0 05-04~15,0,0,0,0 08-19~20,2,0,0,0 09-01~16,2,1,1,0 2026-05~136,37,12,8,0 08-26~27,2,2,1,0 07-16~15,0,0,0,0 05-12~14,4,0,0,0 06-07~15,0,0,0,0 05-18~11,0,0,0,0 05-02~15,1,0,0,0 06-20~23,3,2,0,0 05-11~9,0,0,0,0 07-21~15,0,0,0,0 06-12~26,0,0,0,0 08-23~17,1,0,0,0 06-24~14,0,0,0,0 06-22~18,3,2,0,0 05-14~13,3,1,1,0 05-07~18,0,0,0,0 07-18~20,4,3,2,2 07-04~16,1,1,0,0 06-10~32,2,2,1,0 07-08~43,27,26,5,0 05-16~16,0,0,0,0 2026-09~22,3,2,1,0 08-13~45,27,20,17,17 05-21~19,2,2,1,0 05-15~13,2,1,0,0 08-31~23,1,1,1,0 08-20~23,0,0,0,0 06-05~26,0,0,0,0 07-22~14,0,0,0,0 07-13~25,5,1,0,0 08-17~28,11,8,1,0 05-13~15,1,0,0,0 06-27~13,2,1,1,1 07-20~16,0,0,0,0 08-14~21,4,2,2,0 05-22~14,0,0,0,0 08-28~30,6,6,3,0 05-10~14,1,0,0,0 08-08~27,4,2,2,2 2026-08M~21,4,1,0,0 05-09~14,1,0,0,0 08-21~18,0,0,0,0 05-19~8,0,0,0,0 05-17~12,2,0,0,0 08-22~22,2,2,1,0 07-03~18,1,0,0,0 05-26~19,1,0,0,0 06-04~8,0,0,0,0 07-14~17,2,2,0,0 07-02~20,1,1,0,0 05-31~13,1,1,1,0 2026-06M~23,2,1,0,0 all~605,284,194,103,54 05-30~12,1,1,0,0 08-05~18,3,2,2,1 07-12~22,4,2,2,0 05-29~9,0,0,0,0 07-17~22,4,3,0,0 05-23~16,2,2,2,0 07-30~17,2,1,0,0 06-28~12,0,0,0,0 07-25~14,2,0,0,0 07-23~16,1,0,0,0 06-16~15,1,0,0,0 05-06~21,3,0,0,0 07-07~13,1,0,0,0 06-03~16,3,2,2,0 06-06~17,2,1,1,1 08-29~24,0,0,0,0 05-27~14,0,0,0,0 08-18~29,4,2,1,0 09-02~19,1,1,0,0 06-29~14,2,0,0,0 07-31~14,0,0,0,0 2026-05M~37,7,0,0,0 07-06~15,1,1,0,0 06-13~20,0,0,0,0 06-17~15,0,0,0,0 06-15~26,2,1,1,1 08-12~19,2,1,1,1 07-01~27,5,4,1,1 06-19~23,3,2,2,0 06-25~26,4,3,2,1 05-01~31,6,0,0,0 05-24~13,0,0,0,0 06-30~31,12,10,2,0 07-28~15,1,0,0,0 2026-08~228,120,86,53,36 05-25~20,1,1,1,0 05-08~18,1,0,0,0 sr~685,493 se~3814,704,97,11.1,3.43
Mozambique|06-05~1,1,1,1,0 08-06~1,0,0,0,0 08-14~1,0,0,0,0 2026-06~21,8,4,4,0 06-19~1,1,1,1,0 06-25~3,0,0,0,0 07-23~1,1,0,0,0 2026-07~8,5,1,1,0 2026-05M~1,0,0,0,0 06-01~1,0,0,0,0 05-05~1,0,0,0,0 05-30~1,0,0,0,0 08-27~1,1,0,0,0 05-31~1,0,0,0,0 05-23~2,1,1,1,0 all~49,22,9,9,0 2026-05~15,6,3,3,0 08-04~1,0,0,0,0 05-06~1,1,0,0,0 2026-07M~1,0,0,0,0 06-30~2,1,0,0,0 05-01~1,0,0,0,0 07-04~1,1,1,1,0 2026-06M~2,0,0,0,0 05-25~4,2,1,1,0 07-19~2,1,0,0,0 06-02~1,0,0,0,0 07-24~1,0,0,0,0 2026-08~6,3,1,1,0 07-01~1,0,0,0,0 08-19~2,2,1,1,0 07-15~2,1,0,0,0 06-26~1,0,0,0,0 05-20~1,0,0,0,0 06-11~1,0,0,0,0 05-04~1,1,0,0,0 07-27~1,1,0,0,0 06-12~1,0,0,0,0 06-29~1,0,0,0,0 05-27~2,0,0,0,0 06-28~3,2,2,2,0 05-29~1,1,1,1,0 06-27~6,3,0,0,0
Myanmar|08-31~2,0,0,0,0 07-18~2,0,0,0,0 08-18~1,1,0,0,0 07-23~1,0,0,0,0 08-15~4,0,0,0,0 07-24~1,0,0,0,0 07-19~13,0,0,0,0 09-01~1,0,0,0,0 07-09~2,1,0,0,0 07-30~1,0,0,0,0 07-25~3,0,0,0,0 07-10~2,0,0,0,0 08-08~4,0,0,0,0 2026-07M~16,1,0,0,0 07-20~4,0,0,0,0 08-05~3,1,0,0,0 07-05~1,0,0,0,0 08-10~3,1,1,0,0 2026-05~10,5,0,0,0 07-16~2,0,0,0,0 07-31~3,0,0,0,0 05-18~1,0,0,0,0 08-27~3,0,0,0,0 2026-06~13,2,0,0,0 07-28~4,0,0,0,0 06-30~3,0,0,0,0 07-03~1,0,0,0,0 05-24~2,0,0,0,0 05-23~2,2,0,0,0 07-27~4,0,0,0,0 07-11~3,1,0,0,0 06-15~1,0,0,0,0 2026-09~1,0,0,0,0 07-01~14,1,0,0,0 07-22~2,0,0,0,0 08-29~1,0,0,0,0 07-14~1,0,0,0,0 08-06~8,0,0,0,0 06-02~1,0,0,0,0 08-07~7,0,0,0,0 07-29~7,5,1,1,0 05-06~2,1,0,0,0 07-26~1,0,0,0,0 05-27~1,0,0,0,0 08-09~2,0,0,0,0 08-22~4,0,0,0,0 06-26~1,1,0,0,0 08-23~1,0,0,0,0 08-21~3,0,0,0,0 08-01~5,0,0,0,0 08-28~1,0,0,0,0 2026-07~65,12,2,2,0 05-10~2,2,0,0,0 08-02~5,0,0,0,0 08-03~2,0,0,0,0 06-12~1,0,0,0,0 07-15~5,1,1,1,0 06-05~1,0,0,0,0 2026-09M~1,0,0,0,0 all~153,25,3,2,0 2026-08M~10,0,0,0,0 07-07~2,0,0,0,0 08-17~5,0,0,0,0 06-16~1,0,0,0,0 06-25~2,0,0,0,0 2026-05M~1,0,0,0,0 07-12~1,1,0,0,0 07-17~1,0,0,0,0 08-20~3,0,0,0,0 08-14~4,1,0,0,0 08-11~3,0,0,0,0 08-04~2,0,0,0,0 08-26~2,0,0,0,0 08-13~3,0,0,0,0 05-02~1,0,0,0,0 06-20~1,0,0,0,0 08-16~6,2,0,0,0 2026-06M~1,0,0,0,0 08-12~1,0,0,0,0 07-02~2,0,0,0,0 2026-08~67,6,1,0,0 07-06~3,1,0,0,0 07-04~2,1,0,0,0 07-08~1,1,0,0,0 06-10~1,1,0,0,0 07-21~3,0,0,0,0 se~327,337,25,24.5,2.74
Namibia|06-24~1,0,0,0,0 2026-08M~1,0,0,0,0 05-15~1,0,0,0,0 08-30~1,0,0,0,0 08-15~1,0,0,0,0 2026-05~6,1,0,0,0 08-03~1,0,0,0,0 2026-06~21,9,6,4,0 05-06~1,0,0,0,0 07-14~1,0,0,0,0 05-01~1,0,0,0,0 08-04~1,0,0,0,0 08-07~1,0,0,0,0 07-10~1,0,0,0,0 06-08~3,1,1,0,0 05-04~1,0,0,0,0 08-08~2,0,0,0,0 07-17~2,0,0,0,0 05-16~2,0,0,0,0 07-22~1,0,0,0,0 05-09~1,0,0,0,0 06-23~2,0,0,0,0 08-28~1,0,0,0,0 08-14~1,0,0,0,0 07-27~1,0,0,0,0 06-25~2,1,1,1,0 05-07~1,0,0,0,0 06-14~2,0,0,0,0 08-01~1,0,0,0,0 07-05~1,0,0,0,0 07-20~1,0,0,0,0 07-12~1,0,0,0,0 05-03~1,0,0,0,0 05-05~1,0,0,0,0 07-15~2,0,0,0,0 2026-07M~7,1,1,0,0 05-11~1,0,0,0,0 05-27~1,0,0,0,0 06-29~1,0,0,0,0 07-31~1,0,0,0,0 07-29~1,0,0,0,0 07-09~1,0,0,0,0 06-11~2,0,0,0,0 09-02~1,0,0,0,0 06-06~1,0,0,0,0 07-02~3,0,0,0,0 07-01~4,1,1,0,0 06-19~1,0,0,0,0 05-14~1,0,0,0,0 05-22~1,0,0,0,0 07-30~2,1,0,0,0 06-28~5,2,1,1,0 05-10~2,1,0,0,0 06-09~2,0,0,0,0 07-11~1,0,0,0,0 06-05~1,0,0,0,0 05-08~1,0,0,0,0 06-27~3,1,1,0,0 06-30~3,1,0,0,0 07-28~1,0,0,0,0 07-21~2,0,0,0,0 06-01~1,0,0,0,0 05-23~2,0,0,0,0 2026-05M~1,0,0,0,0 06-16~2,0,0,0,0 08-12~2,1,0,0,0 06-17~1,0,0,0,0 08-10~1,0,0,0,0 2026-09~1,0,0,0,0 08-09~1,0,0,0,0 07-16~2,0,0,0,0 06-04~1,0,0,0,0 08-02~1,0,0,0,0 06-18~1,0,0,0,0 2026-07~12,3,2,0,0 08-05~2,0,0,0,0 08-29~1,0,0,0,0 06-21~1,0,0,0,0 08-21~1,0,0,0,0 08-16~1,0,0,0,0 08-22~2,0,0,0,0 06-12~1,0,0,0,0 06-13~1,0,0,0,0 2026-06M~1,0,0,0,0 07-18~2,1,1,0,0 06-10~2,0,0,0,0 07-08~1,0,0,0,0 07-04~1,0,0,0,0 07-23~1,0,0,0,0 07-24~1,1,0,0,0 05-30~1,0,0,0,0 2026-09M~1,0,0,0,0 08-19~1,0,0,0,0 09-01~1,0,0,0,0 2026-08~5,1,0,0,0 08-13~1,0,0,0,0 all~35,14,8,4,0 05-02~1,0,0,0,0 06-26~5,3,2,1,0 06-03~1,0,0,0,0 06-15~2,0,0,0,0 05-17~2,0,0,0,0 07-13~2,0,0,0,0 08-18~1,0,0,0,0 06-02~1,0,0,0,0 08-06~1,0,0,0,0 08-11~1,0,0,0,0 08-17~1,0,0,0,0
Nepal|06-21~1,0,0,0,0 07-02~1,0,0,0,0 06-16~1,0,0,0,0 07-05~1,0,0,0,0 06-20~1,0,0,0,0 06-30~3,1,0,0,0 2026-07~17,8,3,2,1 07-11~2,0,0,0,0 08-18~1,0,0,0,0 05-03~1,1,0,0,0 08-21~3,1,1,0,0 07-16~2,1,1,0,0 08-13~4,2,1,1,1 08-16~1,0,0,0,0 08-15~1,0,0,0,0 07-21~1,0,0,0,0 06-29~1,0,0,0,0 07-31~1,0,0,0,0 07-01~2,0,0,0,0 06-19~2,1,1,0,0 2026-09M~2,0,0,0,0 06-25~3,2,2,0,0 2026-06~28,9,8,1,0 06-26~1,1,1,0,0 2026-07M~2,0,0,0,0 07-10~2,1,1,1,0 06-08~1,0,0,0,0 08-06~1,1,1,0,0 07-09~2,1,0,0,0 06-11~3,0,0,0,0 07-12~4,1,1,1,0 07-06~3,1,0,0,0 2026-05~5,4,2,0,0 07-30~1,1,0,0,0 06-28~2,1,1,0,0 05-26~1,1,1,0,0 05-09~2,1,0,0,0 09-01~1,0,0,0,0 07-03~1,1,0,0,0 06-12~1,0,0,0,0 08-27~7,3,3,1,0 06-23~1,0,0,0,0 07-17~1,1,0,0,0 06-10~1,0,0,0,0 07-08~1,0,0,0,0 08-20~2,0,0,0,0 08-09~4,0,0,0,0 06-24~1,1,1,0,0 05-19~1,1,1,0,0 08-05~1,0,0,0,0 06-27~1,0,0,0,0 2026-08~23,7,6,2,1 07-18~1,0,0,0,0 06-15~4,2,2,1,0 08-12~2,0,0,0,0 06-13~2,0,0,0,0 07-26~1,0,0,0,0 08-07~1,0,0,0,0 08-17~2,0,0,0,0 all~72,27,19,5,2 05-23~1,0,0,0,0 2026-09~2,0,0,0,0 06-01~1,1,1,0,0 09-02~1,0,0,0,0 07-29~1,0,0,0,0 2026-06M~1,1,1,0,0
